Planner Group,Equipment Category,Object type,Catalog Profile Code,Catalog Profile,Equipment,Tag Number,Equipment Desc.,Description,Notification Date,Breakdown Duration,Name of Work Center,Cost Center,Cost Center Desc,Order,Notification,ABC Indicator,Breakdown Indicator,Object Part,Problem or Damage,Cause,Activity
MCA,크레인,LIFTING MAGNET 크레인,AA01,LIFTING MAGNET-ELECTRIC OVERHEAD CRANE(LM-EOC),1000000353,CH0150001,15TON LM-EOC[생1)선체공장 0-Bay(남)],CHAGER DRIVE FAULT 발생(O-BAY 15TON LMEOC),2018-01-03T00:00:00.000,4,태진 크레인정비 1반,D6023500,가공부,10000359691,10395082,A,Yes,,,,
MCA,크레인,JIB 크레인,AE02,LEVEL LUFFING CRANE(L.L.C),1000000341,CG2500001,250/5TON LLC[한내적치장(1호)],250/5TON LLC[한내적치장(1호)]선회작동 불능 점검요망,2018-01-03T00:00:00.000,4,기계지원부 기계정비1직 4반,D6022350,블록물류부,10000359740,10395112,A,Yes,,,,
MCA,크레인,GANTRY 크레인,AC01,GOLIATH,1000000652,CS4500001,450TON GOLIATH[신한내 PE장(2호)],450TON GOLIATH[신한내 PE장(2호)]호이스트 작동이상 점검,2018-01-03T00:00:00.000,2,기계지원부 기계정비1직 4반,D6023670,신한내건조부,10000359754,10395146,A,Yes,,,,
MCB,용접기,용접장비,WA04,BUILD-UP용접장비,2200000012,AG0110001302,BUILD-UP용접장비 (생2)-2호기,(돌발)고주파 CP BOX SUPPORT 흔들림,2018-01-04T00:00:00.000,2,기계지원부 기계정비2직 3반,D6023500,가공부,10000359808,10395226,A,Yes,,,,
MCB,용접기,용접장비,WA01,주판용접장비,2200000066,AH0020004301,FIT-UP M/C STIFFENER 생2-35BAY(22.3.8매각철거,(돌발)NO4 PUSHER CYLINDER 작동불량,2018-01-04T00:00:00.000,2,기계지원부 기계정비2직 3반,D6023550,판넬조립부,10000359809,10395227,A,Yes,,,,
MCB,용접기,용접장비,WA04,BUILD-UP용접장비,2200000012,AG0110001302,BUILD-UP용접장비 (생2)-2호기,(돌발)상부 GUIDE ROLLER BEARING 마모,2018-01-04T00:00:00.000,2,기계지원부 기계정비2직 3반,D6023500,가공부,10000359810,10395229,A,Yes,,,,
MCB,기계설비,CONVEYOR,MH01,ROLLER CONVEYOR,1700001813,AD0140001301,TACK WELDING 정반 UP-DOWN ROLLER 생2,(돌발)SIDE PUSHER 작동불량,2018-01-04T00:00:00.000,2,기계지원부 기계정비2직 3반,D6023500,가공1부,10000359816,10395365,B,Yes,,,,
MCB,기계설비,공작설비,MA06,PRESS M/C,1700001550,AD0042200301,2200TON ROLL BENDING PRESS 생2,(돌발)Y1 유압호스 터짐,2018-01-04T00:00:00.000,2,기계지원부 기계정비2직 3반,D6023500,가공부,10000359817,10395366,A,Yes,,,,
MCB,기계설비,기계설비 기타,MZ13,대차,1700008064,AF0140801301,80TON TROLLEY CAR - A 생2,(돌발)IDLE WHEEL 마모,2018-01-04T00:00:00.000,1.5,기계지원부 기계정비2직 3반,D6023500,가공부,10000359819,10395368,A,Yes,,,,
MCA,크레인,OVERHEAD 크레인,AB01,ELECTRIC OVERHEAD CRANE(E.O.C),1000000051,CA0400011,40TON EOC[생2)조립공장 63-Bay(63-2)],40TON EOC(63-2)리모콘 미작동 보수,2018-01-04T00:00:00.000,2,태진 크레인정비 2반,D6024060,조립3부,10000360038,10395425,B,Yes,,,,
